"Conta_Total","Gorjeta","Genero","Fumante","Dia","Horario","Tamanho_Mesa","Avaliacao_Servico","Possui_Criancas","Percentual_Esperado_Gorjeta"
8.54,0.82,"Masculino","Nao","Qui","Jantar",2,4,"Nao",0.106
16.11,4.77,"Feminino","Sim","Sex","Almoco",6,4,"Nao",0.2001
29.01,7.31,"Feminino","Nao","Sab","Almoco",2,2,"Nao",0.2286
20.7,5.75,"Feminino","Sim","Qui","Jantar",2,4,"Nao",0.2366
6.96,0.7,"Masculino","Nao","Dom","Jantar",2,4,"Nao",0.1916
27.85,5.36,"Masculino","Sim","Dom","Jantar",2,4,"Nao",0.1565
34.25,4.82,"Masculino","Nao","Sex","Almoco",2,4,"Nao",0.1567
27.08,6.55,"Masculino","Nao","Sex","Jantar",4,5,"Sim",0.1958
18.24,4.6,"Feminino","Nao","Sab","Jantar",6,5,"Nao",0.2317
26.43,2.23,"Masculino","Nao","Sab","Almoco",5,4,"Nao",0.1008
12.48,1.92,"Masculino","Nao","Sab","Jantar",3,4,"Sim",0.1723
9.9,0.5,"Masculino","Nao","Sab","Almoco",2,3,"Nao",0.1104
32.35,4.54,"Masculino","Sim","Sab","Almoco",2,4,"Nao",0.1212
38.26,6.57,"Masculino","Sim","Sab","Jantar",2,5,"Sim",0.1691
24.95,5.19,"Masculino","Sim","Dom","Jantar",2,4,"Sim",0.2214
26.37,3.85,"Masculino","Sim","Sab","Jantar",2,5,"Sim",0.1287
12.91,2.68,"Masculino","Nao","Sex","Almoco",2,4,"Nao",0.1449
35.8,4.87,"Masculino","Nao","Sab","Jantar",5,4,"Nao",0.1453
42.48,6.68,"Masculino","Nao","Sab","Jantar",2,5,"Nao",0.1137
17.73,3.88,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.2348
12.25,2.55,"Feminino","Nao","Dom","Almoco",4,5,"Nao",0.2175
21.17,3.89,"Masculino","Sim","Qui","Jantar",2,5,"Nao",0.1548
21.81,3.77,"Feminino","Nao","Qui","Almoco",2,5,"Nao",0.1932
19.18,4.79,"Masculino","Nao","Sab","Jantar",2,3,"Sim",0.1854
15.05,1.57,"Masculino","Nao","Qui","Almoco",2,5,"Nao",0.1513
17.11,3,"Masculino","Sim","Sab","Almoco",3,4,"Nao",0.1651
33.47,4.71,"Masculino","Nao","Sex","Jantar",2,5,"Nao",0.1003
19.83,3.48,"Masculino","Nao","Sab","Almoco",3,4,"Nao",0.155
15.45,3.22,"Masculino","Nao","Dom","Almoco",2,3,"Sim",0.1817
41.93,8.88,"Masculino","Nao","Sab","Almoco",4,4,"Nao",0.2182
18.05,4.37,"Feminino","Nao","Qui","Jantar",1,5,"Sim",0.1713
14.23,1.95,"Feminino","Nao","Sex","Jantar",2,2,"Nao",0.105
18.56,2.1,"Masculino","Nao","Sab","Jantar",2,4,"Sim",0.117
5,0.91,"Masculino","Sim","Sex","Jantar",2,3,"Sim",0.1242
10.62,2,"Feminino","Sim","Qui","Jantar",2,4,"Nao",0.1216
30.84,6.07,"Masculino","Sim","Sex","Jantar",1,1,"Nao",0.2021
17.8,2.84,"Feminino","Nao","Qui","Jantar",2,4,"Sim",0.1607
33.79,3.31,"Masculino","Nao","Qui","Jantar",4,4,"Nao",0.1132
11.65,2.33,"Masculino","Sim","Qui","Jantar",6,4,"Nao",0.212
14.43,3.57,"Masculino","Nao","Qui","Almoco",5,5,"Nao",0.2474
10.16,0.84,"Masculino","Nao","Sab","Almoco",6,4,"Nao",0.1313
23.46,5.49,"Masculino","Nao","Sab","Jantar",4,5,"Nao",0.2067
28.31,3.18,"Feminino","Sim","Dom","Jantar",2,5,"Nao",0.1201
13.07,2.87,"Masculino","Nao","Qui","Jantar",4,3,"Nao",0.1707
18.98,4.12,"Feminino","Nao","Sab","Jantar",4,4,"Sim",0.2141
11.21,0.52,"Feminino","Sim","Sab","Almoco",2,4,"Nao",0.102
15.08,2.62,"Masculino","Nao","Qui","Jantar",2,5,"Nao",0.1228
16.1,1.83,"Masculino","Sim","Sex","Jantar",2,4,"Sim",0.1164
11.23,1.53,"Masculino","Nao","Dom","Jantar",5,4,"Nao",0.1371
13.19,3.33,"Feminino","Sim","Qui","Jantar",2,5,"Sim",0.1734
19.15,3.2,"Feminino","Sim","Sab","Almoco",2,3,"Sim",0.186
23.76,2.44,"Masculino","Sim","Sab","Jantar",3,2,"Nao",0.1224
15.57,2.19,"Feminino","Nao","Dom","Almoco",2,4,"Nao",0.1729
32.75,6.97,"Masculino","Nao","Dom","Jantar",3,4,"Nao",0.2028
29.65,3.53,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1081
44.01,8.31,"Masculino","Sim","Sab","Almoco",2,3,"Nao",0.1872
41.27,4.3,"Masculino","Nao","Sab","Jantar",6,4,"Nao",0.1157
13.87,3.3,"Masculino","Nao","Sab","Jantar",2,5,"Nao",0.1878
17.84,3.85,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.2258
16.13,1.36,"Feminino","Nao","Dom","Jantar",2,4,"Nao",0.1104
14.95,3.19,"Masculino","Nao","Sab","Almoco",2,3,"Nao",0.2256
26.49,2.93,"Masculino","Sim","Sab","Almoco",4,2,"Nao",0.1052
25.57,6.03,"Feminino","Sim","Dom","Almoco",2,3,"Nao",0.2266
20.66,1.35,"Feminino","Nao","Qui","Jantar",2,3,"Nao",0.101
22.41,4.87,"Masculino","Nao","Qui","Jantar",2,4,"Nao",0.2222
23.19,4.51,"Feminino","Nao","Qui","Jantar",2,5,"Nao",0.1645
21.97,6.49,"Masculino","Sim","Qui","Jantar",4,5,"Sim",0.2304
17.53,2.85,"Feminino","Sim","Dom","Almoco",2,4,"Nao",0.2118
63.74,7.02,"Masculino","Nao","Qui","Almoco",4,4,"Sim",0.1112
17.56,2.49,"Masculino","Sim","Sab","Jantar",4,4,"Nao",0.123
45.16,9.95,"Masculino","Sim","Qui","Jantar",2,4,"Nao",0.2057
22.63,3.75,"Feminino","Sim","Qui","Jantar",2,3,"Sim",0.1614
29.13,5.03,"Masculino","Nao","Dom","Jantar",2,5,"Sim",0.1098
13.58,1.98,"Feminino","Sim","Qui","Jantar",4,4,"Nao",0.1938
12.1,1.72,"Masculino","Sim","Sex","Jantar",4,3,"Sim",0.1316
13.51,2.31,"Masculino","Nao","Sab","Jantar",2,2,"Nao",0.2054
19.7,2.48,"Masculino","Sim","Dom","Jantar",3,3,"Sim",0.1266
23.4,1.88,"Feminino","Nao","Sex","Jantar",2,5,"Nao",0.1128
25.89,3.26,"Masculino","Sim","Qui","Jantar",2,3,"Nao",0.1193
9.59,2.15,"Masculino","Nao","Sab","Jantar",2,3,"Nao",0.1958
23.27,5.56,"Masculino","Sim","Qui","Almoco",3,4,"Nao",0.2377
